tickerId,unSymbol,symbol,direction,strikePrice,Ask_Price,Ask_Volume,Bid_Price,Bid_Volume,expireDate,tradeTime,tradeStamp,impVol,volume,close,preClose,open,high,low,delta,vega,gamma,theta,rho,changeRatio,change,weekly,activeLevel,openIntChange
1020040069,VXX,VXX210401C00006000,call,6,6.35,30,6.25,20,2021-04-01,,1617028225511,,0,,,,,,0.9987,0.0001,0.0014,-0.0016,0.0007,,,1,12,
1020040071,VXX,VXX210401P00006000,put,6,6.35,30,6.25,20,2021-04-01,,1617027725593,,0,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,1,12,
1019956704,VXX,VXX210401C00007000,call,7,6.35,30,6.25,20,2021-04-01,2021-03-26T13:30:08.000+0000,1617028225516,2.3094,0,5.02,5.02,,,,0.9985,0.0001,0.0021,-0.0015,0.0008,0.0000,0.00,1,11,0.0
1019956705,VXX,VXX210401P00007000,put,7,6.35,30,6.25,20,2021-04-01,,1617027618066,,0,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,1,11,0.0
1019956706,VXX,VXX210401C00007500,call,7.5,6.35,30,6.25,20,2021-04-01,2021-03-26T19:53:58.000+0000,1617028213993,2.0832,0,4.40,4.40,,,,0.9985,0.0001,0.0024,-0.0013,0.0008,0.0000,0.00,1,10,10.0
1019956707,VXX,VXX210401P00007500,put,7.5,6.35,30,6.25,20,2021-04-01,,1617027618066,,0,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,1,10,0.0
1020040070,VXX,VXX210401C00008000,call,8,6.35,30,6.25,20,2021-04-01,,1617028213993,,0,,,,,,0.9984,0.0001,0.0028,-0.0012,0.0009,,,1,9,
1020040068,VXX,VXX210401P00008000,put,8,6.35,30,6.25,20,2021-04-01,,1617027618066,,0,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,1,9,
1019542810,VXX,VXX210401C00008500,call,8.5,6.35,30,6.25,20,2021-04-01,2021-03-26T19:59:58.000+0000,1617028227618,1.6749,0,3.25,3.25,,,,0.9984,0.0001,0.0034,-0.0010,0.0009,0.0000,0.00,1,8,0.0
1019542811,VXX,VXX210401P00008500,put,8.5,6.35,30,6.25,20,2021-04-01,,1617026620870,,0,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,1,8,0.0
1019542814,VXX,VXX210401C00009000,call,9,6.35,30,6.25,20,2021-04-01,2021-03-26T17:53:57.000+0000,1617028219749,1.4893,0,2.77,2.77,,,,0.9986,0.0001,0.0036,-0.0008,0.0010,0.0000,0.00,1,7,0.0
1019542813,VXX,VXX210401P00009000,put,9,6.35,30,6.25,20,2021-04-01,2021-03-24T13:51:23.000+0000,1617028109041,0.8732,0,0.01,0.01,,,,-0.0002,0.0000,0.0006,-0.0001,0.0000,0.0000,0.00,1,7,0.0
1019542812,VXX,VXX210401C00009500,call,9.5,6.35,30,6.25,20,2021-04-01,2021-03-29T14:14:20.538+0000,1617028230021,1.3142,21,2.70,2.40,2.51,2.73,2.51,0.9963,0.0001,0.0095,-0.0017,0.0010,0.1250,0.30,1,6,0.0
1019542815,VXX,VXX210401P00009500,put,9.5,6.35,30,6.25,20,2021-04-01,2021-03-26T17:01:05.000+0000,1617028131963,0.8451,0,0.01,0.01,,,,-0.0017,0.0001,0.0052,-0.0007,0.0000,0.0000,0.00,1,6,-1.0
1020040072,VXX,VXX210401C00010000,call,10,6.35,30,6.25,20,2021-04-01,2021-03-29T14:27:24.511+0000,1617028229994,,65,2.27,2.09,2.03,2.27,1.95,1.0000,0.0000,0.0000,0.0000,0.0011,0.0861,0.18,1,5,12.0
1020040073,VXX,VXX210401P00010000,put,10,6.35,30,6.25,20,2021-04-01,2021-03-29T13:53:24.951+0000,1617028109041,,7,0.01,0.01,0.01,0.01,0.01,-0.0017,0.0001,0.0066,-0.0006,0.0000,0.0000,0.00,1,5,585.0
1019265058,VXX,VXX210401C00010500,call,10.5,6.35,30,6.25,20,2021-04-01,2021-03-29T14:21:28.427+0000,1617028229192,1.0111,111,1.80,1.28,1.54,1.80,1.48,0.9987,0.0001,0.0070,-0.0004,0.0011,0.4063,0.52,1,4,146.0
1019265059,VXX,VXX210401P00010500,put,10.5,6.35,30,6.25,20,2021-04-01,2021-03-29T14:24:09.413+0000,1617028201551,0.5239,716,0.01,0.02,0.02,0.02,0.01,-0.0025,0.0001,0.0118,-0.0007,0.0000,-0.5000,-0.01,1,4,2037.0
1019265063,VXX,VXX210401C00011000,call,11,6.35,30,6.25,20,2021-04-01,2021-03-29T14:22:46.770+0000,1617028228475,0.8524,1203,1.30,0.88,1.00,1.32,0.96,0.9416,0.0015,0.1386,-0.0123,0.0011,0.4773,0.42,1,3,1050.0
1019265057,VXX,VXX210401P00011000,put,11,6.35,30,6.25,20,2021-04-01,2021-03-29T14:27:49.792+0000,1617028228002,0.5354,2674,0.04,0.09,0.05,0.05,0.02,-0.0353,0.0010,0.1073,-0.0071,0.0000,-0.5556,-0.05,1,3,-1277.0
1019265062,VXX,VXX210401C00011500,call,11.5,6.35,30,6.25,20,2021-04-01,2021-03-29T14:30:00.048+0000,1617028228811,0.7909,1375,0.92,0.51,0.65,0.94,0.63,0.8162,0.0034,0.3079,-0.0287,0.0010,0.8039,0.41,1,2,1646.0
1019265056,VXX,VXX210401P00011500,put,11.5,6.35,30,6.25,20,2021-04-01,2021-03-29T14:29:53.032+0000,1617028228952,0.5362,10474,0.14,0.28,0.02,0.20,0.02,-0.1724,0.0033,0.3112,-0.0262,-0.0002,-0.5000,-0.14,1,2,6241.0
